Month, Q, Qs, Qc
Jan-49,0,0,0
Feb-49,0,0,0
Mar-49,0,0,0
Apr-49,0,0,0
May-49,0,0,0
Jun-49,0,0,0
Jul-49,0,0,0
Aug-49,0,0,0
Sep-49,0,0,0
Oct-49,95.180986,378.670624,3767.580645
Nov-49,87.709004,37.505563,392
Dec-49,58.859666,9.424806,157.709677
Jan-50,64.854606,17.29897,284.354839
Feb-50,67.503597,17.915625,233.096774
Mar-50,164.091289,421.717593,2150.419355
Apr-50,285.515554,1436.188881,4212.548387
May-50,472.625661,1573.881422,3006.451613
Jun-50,721.530333,1783.714158,2350.322581
Jul-50,338.120861,805.773335,2082.709677
Aug-50,113.194124,34.003707,250.516129
Sep-50,68.590597,50.245699,676
Oct-50,70.572773,15.501665,210.516129
Nov-50,76.510167,11.29108,132.258065
Dec-50,78.702435,11.241136,136.645161
Jan-51,52.185122,5.081037,90.580645
Feb-51,77.021696,17.748805,185.516129
Mar-51,94.194465,72.612455,722.096774
Apr-51,171.188758,374.342145,2173.967742
May-51,406.227332,1107.907333,2246.580645
Jun-51,602.873806,1411.682348,2115.806452
Jul-51,288.840494,415.156922,1582
Aug-51,174.385816,1365.34655,5611.451613
Sep-51,81.826418,151.8695,1288
Oct-51,96.925666,377.308206,3312.774194
Nov-51,75.496243,40.800848,454.258065
Dec-51,60.698431,16.278006,265.967742
Jan-52,61.931582,14.628834,229
Feb-52,64.63538,16.884468,241.096774
Mar-52,73.660218,31.98862,376.612903
Apr-52,454.81348,3860.093339,7848.709677
May-52,960.94431,4130.402479,4193.225806
Jun-52,832.970643,1492.13635,1727.483871
Jul-52,236.874599,228.627987,846.064516
Aug-52,145.109898,597.438919,3855.16129
Sep-52,84.831652,189.875862,1591.258065
Oct-52,59.355667,4.320326,72.612903
Nov-52,56.432642,5.260088,89.032258
Dec-52,59.364801,7.757628,127.064516
Jan-53,64.324808,6.558632,99.83871
Feb-53,65.019027,8.03181,110.967742
Mar-53,99.830422,88.023746,777.354839
Apr-53,101.730388,68.141278,587.225806
May-53,209.032791,370.278674,1393.096774
Jun-53,537.379788,1578.570042,2766.451613
Jul-53,173.30795,134.216846,677.580645
Aug-53,97.455464,386.362679,3565.193548
Sep-53,40.21899,10.842264,211.741935
Oct-53,39.734865,13.47027,0
Nov-53,57.729734,13.246711,224.806452
Dec-53,49.344308,12.639568,252.548387
Jan-54,49.399114,10.743056,216.741935
Feb-54,63.603187,29.754051,390.774194
Mar-54,77.916872,55.590726,701.612903
Apr-54,124.329021,200.910768,1447.741935
May-54,294.567796,723.627352,2114.935484
Jun-54,173.088724,136.374291,624.290323
Jul-54,159.231761,351.452845,2448.612903
Aug-54,55.108147,107.363284,1791.225806
Sep-54,61.748893,852.559308,9428.709677
Oct-54,63.822413,574.087552,7675.806452
Nov-54,55.21776,27.115853,470.16129
Dec-54,36.683958,10.387332,282.096774
Jan-55,36.711361,19.325269,519.516129
Feb-55,39.789671,12.355873,278.225806
Mar-55,109.357655,656.644639,3761.612903
Apr-55,143.219067,534.876419,3176.129032
May-55,312.06027,1041.655093,3252.580645
Jun-55,301.436903,527.265905,1631.129032
Jul-55,102.506816,61.110727,619.677419
Aug-55,74.089537,412.839792,5347.741935
Sep-55,32.551532,65.872734,1407.903226
Oct-55,35.551286,7.803495,217.741935
Nov-55,39.727557,9.22503,318.225806
Dec-55,58.469625,24.222159,360.322581
Jan-56,71.184781,43.339158,574.677419
Feb-56,45.977349,14.220449,274.677419
Mar-56,144.698848,1048.840912,4748.709677
Apr-56,211.864471,661.265308,2676.451613
May-56,458.184093,1758.232527,3412.903226
Jun-56,556.01407,1516.2046,2261.290323
Jul-56,135.262959,95.471177,729.83871
Aug-56,77.880334,193.633214,2114.83871
Sep-56,33.349883,3.956448,101.612903
Oct-56,35.211484,23.697237,462.548387
Nov-56,45.653989,19.592996,383.064516
Dec-56,36.574344,6.018082,164.967742
Jan-57,38.346428,4.879902,126.225806
Feb-57,46.074174,11.464695,186.322581
Mar-57,108.910067,178.724761,1569.516129
Apr-57,133.673565,228.230473,1510.645161
May-57,420.303522,1672.342443,3402.741935
Jun-57,861.470132,2623.58871,2969.032258
Jul-57,535.963948,1256.414277,2301.612903
Aug-57,177.911714,1482.793085,7339.032258
Sep-57,92.915642,548.181228,3544.322581
Oct-57,85.123955,100.829114,849.451613
Nov-57,105.064462,304.366189,0
Dec-57,68.572328,34.114807,0
Jan-58,58.798465,17.642462,0
Feb-58,84.566753,112.452136,0
Mar-58,113.404217,179.292152,0
Apr-58,199.030566,730.813172,0
May-58,603.714176,2752.219982,4358.387097
Jun-58,540.567712,1355.249029,0
Jul-58,103.164497,30.440356,0
Aug-58,50.741879,23.935405,0
Sep-58,44.101132,73.830477,1377.483871
Oct-58,41.945402,5.351482,0
Nov-58,46.960216,3.975134,0
Dec-58,52.605307,8.328756,0
Jan-59,44.713141,3.976833,0
Feb-59,52.267332,7.195673,0
Mar-59,67.366581,22.405828,304.193548
Apr-59,100.798674,113.413642,0
May-59,221.218149,224.415024,0
Jun-59,351.237933,491.33001,1216.870968
Jul-59,159.350508,207.906325,0
Aug-59,82.675922,744.72954,7927.580645
Sep-59,47.754913,105.716831,1716.096774
Oct-59,82.063913,330.292899,0
Nov-59,69.933362,48.418496,569
Dec-59,48.942392,9.425485,191.645161
Jan-60,43.799695,11.935596,0
Feb-60,46.850602,7.923088,155.83871
Mar-60,147.521394,956.543048,3237.483871
Apr-60,245.762421,710.346326,0
May-60,253.773335,362.494885,0
Jun-60,314.307346,417.18526,0
Jul-60,78.391864,19.797528,0
Aug-60,31.749527,29.232867,0
Sep-60,27.045284,49.262108,0
Oct-60,44.312138,144.566125,1918.096774
Nov-60,48.439997,11.891428,236.709677
Dec-60,37.003663,8.471793,234.806452
Jan-61,36.583479,5.366092,0
Feb-61,43.297301,6.337451,128.677419
Mar-61,62.881565,37.80115,449.935484
Apr-61,84.886459,93.228793,997.354839
May-61,157.295257,216.974388,1190.903226
Jun-61,249.653697,290.888105,960.322581
Jul-61,51.405953,28.084155,404.419355
Aug-61,36.610882,229.783154,5387.419355
Sep-61,80.739418,1495.83968,14605.80645
Oct-61,107.868739,582.14994,0
Nov-61,73.998193,62.181974,0
Dec-61,57.866751,30.584752,0
Jan-62,52.705786,51.581616,0
Feb-62,185.63946,1381.376195,0
Mar-62,184.652939,1987.023596,4584.677419
Apr-62,503.308284,4276.497162,0
May-62,621.508088,2472.533602,0
Jun-62,494.721899,951.687948,0
Jul-62,275.394582,340.845691,0
Aug-62,81.305754,19.855626,0
Sep-62,45.133325,574.480309,0
Oct-62,57.894154,259.131198,0
Nov-62,43.47999,7.776994,0
Dec-62,33.364498,4.532333,0
Jan-63,32.780807,9.00351,0
Feb-63,55.025937,85.924059,0
Mar-63,45.80014,21.329824,434.516129
Apr-63,70.992958,68.018967,901.612903
May-63,183.639015,316.1421,1408.709677
Jun-63,142.634462,102.558468,676.129032
Jul-63,23.354966,3.040808,125.387097
Aug-63,33.138877,469.592481,9573.548387
Sep-63,43.681861,598.376643,9538.709677
Oct-63,21.862396,66.43231,0
Nov-63,34.048668,29.456765,797.741935
Dec-63,38.786708,127.170326,0
Jan-64,50.04766,58.879555,0
Feb-64,52.358677,139.775239,2267.096774
Mar-64,59.099902,76.376941,1278.387097
Apr-64,87.45324,343.152628,3532.258065
May-64,291.845729,1865.595131,5361.290323
Jun-64,333.8094,734.210723,2000.967742
Jul-64,158.290912,157.714307,0
Aug-64,90.467609,673.190711,6190
Sep-64,64.260867,117.962963,0
Oct-64,90.184441,33.228047,353.870968
Nov-64,92.203155,25.549582,264.193548
Dec-64,122.894912,55.312127,485.483871
Jan-65,138.277329,42.12963,301.290323
Feb-65,139.446538,75.595505,483.225806
Mar-65,166.438843,351.136873,2000.967742
Apr-65,238.610145,790.610066,2950.967742
May-65,377.02449,1184.386201,3000
Jun-65,555.922725,1971.938471,3083.870968
Jul-65,251.425781,868.074223,3995.806452
Aug-65,105.073597,475.41928,4046.451613
Sep-65,86.94171,202.358124,2300.967742
Oct-65,116.327241,130.499925,0
Nov-65,110.252831,39.836283,294.032258
Dec-65,114.226317,48.445677,399.677419
